0	program start	1565593817.538493	
0	program start	1565594006.7677379	
0	program start	1565594177.6517265	
0	program start	1565594224.7612839	
0	program start	1565594291.6282907	
0	program start	1565594322.4806855	
0	program start	1565595713.6000159	
0	program start	1565596111.0410552	
2	Sleep now	A4	1565596282.4587207	
2	Sleep now	A4	1565596284.3324502	
2	Sleep now	A5	1565596286.2920105	
2	Sleep now	A5	1565596288.1651247	
2	Sleep now	A4	1565596290.0289416	
2	Sleep now	A5	1565596291.8903515	
3	Release judge now	A4	1565596292.8431218	
3	Release judge now	A4	1565596293.7713377	
3	Release judge now	A4	1565596294.6699045	
2	Sleep now	90	1565596401.4964771	
2	Sleep now	90	1565596403.3255703	
2	Sleep now	97	1565596405.1720164	
2	Sleep now	99	1565596407.0547853	
2	Sleep now	98	1565596408.9129028	
2	Sleep now	94	1565596410.785243	
3	Release judge now	8B	1565596411.7082849	
3	Release judge now	90	1565596412.5987048	
3	Release judge now	94	1565596413.5005178	
3	Release judge now	94	1565596414.413574	
3	Release judge now	8E	1565596415.371754	
3	Release judge now	8B	1565596416.2418003	
3	Release judge now	93	1565596417.1258237	
3	Release judge now	94	1565596418.061354	
3	Release judge now	96	1565596418.9664059	
3	Release judge now	93	1565596419.868965	
3	Release judge now	91	1565596420.79516	
3	Release judge now	96	1565596421.6561036	
3	Release judge now	96	1565596422.5840454	
3	Release judge now	8C	1565596424.3916469	
3	Release judge now	93	1565596425.3003519	
3	Release judge now	92	1565596426.1815984	
3	Release judge now	99	1565596427.122382	
3	Release judge now	95	1565596428.0068765	
3	Release judge now	95	1565596428.9054198	
3	Release judge now	98	1565596429.8205078	
3	Release judge now	9B	1565596430.7229362	
3	Release judge now	99	1565596432.5270653	
3	Release judge now	9B	1565596433.448181	
3	Release judge now	9A	1565596434.404827	
3	Release judge now	9A	1565596435.283826	
3	Release judge now	9B	1565596436.1793969	
3	Release judge now	9B	1565596437.9593441	
3	Release judge now	9A	1565596438.893077	
3	Release judge now	97	1565596439.8363252	
3	Release judge now	87	1565596440.6918974	
3	Release judge now	95	1565596441.6150675	
3	Release judge finished	92	1565596442.6477547	
4	Land judge now	9C	1565596445.1964083	
4	Land judge now	A1	1565596447.7302384	
4	Land judge now	9F	1565596450.2649946	
4	Land judge now	A0	1565596452.7780564	
4	Land judge now	A2	1565596455.3178012	
4	Land judge now	A1	1565596457.849073	
5	Melt Finished	A2	1565596464.975047	
